Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staff,Perum Jasa Tirta II,Strategic Planning,Sarjana S1 / Diploma IV,Manajemen Stratejik,"Memiliki pengetahuan mengenai penyusunan perencanaan strategi perusahaan
Memiliki kemampuan menganalisa lingkungan bisnis internal & eksternal perusahaan
Mengetahui model bisnis perusahaan dan perkembangannya, serta tujuan dan sasaran perusahaan
Memiliki kemampuan dasar menyusun laporan manajemen
Menguasai aplikasi untuk membuat paparan (infografis) dan word processing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/B70C13B4CD48489C5E215C7F304F203F
Staff,Perum Jasa Tirta II,Risk Management,Sarjana S1 / Diploma IV,Manajemen Risiko,"Memiliki pengetahuan di bidang manajemen risiko
Memiliki kemampuan menganalisa potensi risiko dan mitigasinya
Menguasai aplikasi untuk membuat paparan (infografis) dan word processing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/621AA4EE66BD6F3695BB20E9FF1CC4DC
Staff,Perum Jasa Tirta II,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Manajemen Aset,"Memiliki pengetahuan mengenai manajemen aset
Memahami analisa dan kajian mengenai aset
memahami siklus manajeman aset
Memiliki kompetensi dalam penilaian properti, minimal tingkat dasar
Memahami strategi pengelolaan aset dan akuntansi aset tetap
Menguasai pengolahan data menggunakan Ms. Excel
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/1F019E2488969316EF708BEDED37CF0D
Staff,Perum Jasa Tirta II,Strategic Planning,Sarjana S1 / Diploma IV,Manajemen bisnis,"Memiliki pengetahuan mengenai proses serta strategi bisnis
Memahami instruksi untuk mengumpulkan informasi mengenai proses bisnis dan strategi korporasi
Memahami konsep pemasaran
Memahami proses penyusunan strategi promosi
Menguasai aplikasi untuk membuat paparan (infografis) dan word procesing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/43A85D5F8C81ADABFFDD947F83D1FD93
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil (Teknik Sipil SDA),"Memahami konsep pengelolaan sumber daya air
Memahami operasi dan pemeliharaan sarana dan prasarana sumber daya air
Menguasai Aplikasi untuk membuat paparan (infografis) dan word processing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/6E507520A9DBD425ABDA30001C77C538
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik geodesi/geodesi,"Memahami dan mampu mengoprasikan alat ukur tanah
Mampu melakukan pemetaan situasi lahan
Mampu melakukan pengukuran stakeout
Mampu melakukan penggambaran dan evaluasi hasil pengukuran
Mampu membuat dan mengoperasikan aplikasi GIS
Menguasai pengolahan data menggunakan Ms. Excel dan word processing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/CDC974439D74FBDBFE4951FD22A4EBA6
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Diploma III,Teknik Sipil,"Memahami konsep pengelolaan sumber daya air
Memahami operasi dan pemeliharaan sarana dan prasarana sumber daya air
Menguasai pengolahan data menggunakan Ms. Excel dan word processing
Diutamakan memiliki pengalaman, laki-laki dan belum menikah",https://rekrutmenbersama.fhcibumn.id/job/detail/3268813C33B799CAA7F8912E4ED6FE33
Officer,PT Hutama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"S1 Teknik Sipil
Memiliki Pengalaman/ Memahami Building Information Modelling (BIM) & Menguasai software terupdate terkait bidang Teknik Sipil
Bersedia ditempatkan diseluruh wilayah operasi Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/7B69E95FDC70BA5FC6A64C10AE2018CA
Officer,PT Hutama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,"Teknik Geoteknik
Teknik geodesi/geodesi","S1 Teknik Geodesi/ S1 Teknik Geoteknik
Bersedia ditempatkan diseluruh wilayah operasi Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/77165562A1467D80596BFCCF2FAD1B05
Officer,PT Hutama Karya (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"S1 Ilmu Hukum
Diutamakan memiliki kemampuan legal drafting (Perjanjian, LO, dll) & Analisa Legal
Bersedia ditempatkan diseluruh wilayah operasi Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/C136F04980FC5898F471894778349C0B
Officer,PT Hutama Karya (Persero),Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"S1 Akuntansi
Diutamakan Memiliki Brevet A & B
Mampu melakukan perencanaan, monitoring pekerjaan, dan pencapaian target sesuai rencana yang ada
Bersedia ditempatkan diseluruh wilayah operasi Perusahaan",https://rekrutmenbersama.fhcibumn.id/job/detail/40F851F397DA48A4A3EC231064B3E5FE
Administrasi Perkantoran,Perum Perumnas,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Ekonomi Pembangunan
Ekonomi Manajemen
Ekonomi Akuntansi
Administrasi Perkantoran
Administrasi Negara
Administrasi Bisnis","Berbahasa Inggris aktif
Memiliki Inisiatif & berintegritas
Memiliki kemampuan korespondensi dan berkomunikasi berbahasa yang sangat baik
Memiliki Tata Krama dan etika yang baik
Berpenampilan rapi dan memiliki kepribadian interpersonal yang baik
Bisa mengoprasikan Program Office/Komputer
Mampu bekerja dengan tim maupun individu
Mampu mengelola data perusahaan
Memiliki manajemen waktu yang baik
Memiliki orientasi bekerja pada hasil, ketelitian tinggi, disiplin, dan antusias bekerja yang baik serta tinggi
Mahir dengan pekerjaan Administrasi dan dapat membuat laporan dengan baik",https://rekrutmenbersama.fhcibumn.id/job/detail/5BA800FA5A382E1E1ECE976ED1B37373
Officer Pemeliharaan Jaringan,PT Perusahaan Listrik Negara (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Elektro,Requirement: Fresh Graduate/berpengalaman,https://rekrutmenbersama.fhcibumn.id/job/detail/F98E1633220B3A2CBD3E3D55BAE5F52A
Officer Asesmen dan Diagnosa,PT Perusahaan Listrik Negara (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Elektro,Requirement: Fresh Graduate/berpengalaman,https://rekrutmenbersama.fhcibumn.id/job/detail/EE3E2D1EF8A06973CD69CC06850FC315
Officer Pemasaran,PT Perusahaan Listrik Negara (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Manajemen Pemasaran,Requirement: Fresh Graduate/berpengalaman,https://rekrutmenbersama.fhcibumn.id/job/detail/C257A64FA52CC721E4CD758689712B5E
Junior Analyst Bidang Aktuaria,PT Pos Indonesia (Persero),Analyst Research,Sarjana S1 / Diploma IV,"Matematika Aktuaria
Aktuaria","Memiliki Sertifikat ASAI (Ajun Aktuaris (Associate) dari PAI (Diutamakan)
Menguasai Advanced Excel
Analysis Skill
Pengetahuan di Bidang Asuransi dan Dana Pensiun
Pengetahuan Employee Benefit
Pengetahuan PSAK 24 dan PSAK 18",https://rekrutmenbersama.fhcibumn.id/job/detail/2FCB57A25FEF808AEEF205732E10472A
Junior Analyst Bidang Digital,PT Pos Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,Teknik Informatika,"Memiliki kompetensi Digital (Artificial Intelligence/Data Scientist/Development Security Operations Engineer/Front End Developer/Mobile Developer/Scrum Master/Software Quality Assurance Engineer/Cloud Architect/Information Architect/System Tester/Information Technology Auditor/Security Engineer/Network Engineer/Enterprise Architect)
Memiliki portofolio IT",https://rekrutmenbersama.fhcibumn.id/job/detail/F58FF2BF691608FD10F63AF75FD4B6B4
Engineer,PT Pos Indonesia (Persero) - PT Pos Properti Indonesia,Engineering and Maintenance,Diploma III,"Teknik Sipil
Arsitektur","Menguasai desain struktur & fondasi gedung
Mahir dalam mengoperasikan AutoCAD, SketchUp, 3DMax
Menguasai pembuatan RAB dan tie schedule
Menguasai metode perencangan, perencanaan, dan manajemen proyek
Lebih disukai berpengalaman sebagai Building Engineer min. 1 tahun",https://rekrutmenbersama.fhcibumn.id/job/detail/C0D4F9AB669F7F7227B6CFB20168E4DF
Sales Support Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Mengelola Database Project & Tender
Menguasai Microsoft Software",https://rekrutmenbersama.fhcibumn.id/job/detail/2333BF5B5098C5FA8F9BD2B8398FB016
Risk Management Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Risk Management,Sarjana S1 / Diploma IV,Semua Jurusan,"Menguasai Risk Management
Memahami konsep Problem Solving
Memahami bisnis terutama dibidang Logistik",https://rekrutmenbersama.fhcibumn.id/job/detail/005F0107A6A53CA4B9773051FBBBC815
Operation Supervisor,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Semua Jurusan,"Menguasai Ms Office (Word, Excel, Power Point)
Diutamakan memiliki pengalaman kerja dibidang logistik
Bersedia ditempatkan diseluruh wilayah kerja perusahaan.",https://rekrutmenbersama.fhcibumn.id/job/detail/B3A95228029F52252ED1D7D8257FCFB1
QHSSE Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Sistem Management and Safety,Sarjana S1 / Diploma IV,Kesehatan Lingkungan,"Mempunyai pegetahuan dasar-dasar K3
Lebih diutamakan yang mempunyai sertifikasi Internal Audit Sistem Managemen Terpadu, K3 Umum, K3 Investigasi Kecelakaan Kerja, CSMS Handling
Memiliki sertifikasi K3 Migas menjadi nilai tambah
Memahami manajemen resiko.",https://rekrutmenbersama.fhcibumn.id/job/detail/A67FAD557159B5083A29D105A5E0E999
Operation Staff,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Operasi / Produksi / Proyek,Diploma III,Semua Jurusan,"Menguasai Ms Office (Word, Excel)
Diutamakan memiliki pengalaman kerja dibidang Logistik",https://rekrutmenbersama.fhcibumn.id/job/detail/39458AB77459869C2340EE4FE106EA19
Organization Development & Talent Management Assistant Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,SDM / HC,Sarjana S1 / Diploma IV,"Psikologi
Manajemen","Menguasai Ms Office (Word, Excel, Power Point)
Diutamakan memiliki pengalaman kerja dibidang logistik",https://rekrutmenbersama.fhcibumn.id/job/detail/38724C5165B7C83BF511AD7457310316
System Development & Integration Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Developer Information Technology,Sarjana S1 / Diploma IV,Teknik Informatika,"Memiliki pengetahuan dalam bidang software development life-cycle
Memiliki kemampuan untuk menguji code components atau aplikasi lengkap
Memiliki kemampuan dalam pengembangan aplikasi (full-stack) dan memahami konsep rekayasa perangkat lunak
Diutamakan memiliki pengalaman kerja dibidang logistik
Memiliki pengetahuan mengenai bahasa pemograman",https://rekrutmenbersama.fhcibumn.id/job/detail/DD87968B1601807BD772E2BBBD07BFE2
Legal Assistant Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Memahami Peraturan Perundang-undangan yang berlaku
Memahami terkait dengan hukum bisnis
Mampu melakukan mitigasi resiko terhadap suatu proses bisnis",https://rekrutmenbersama.fhcibumn.id/job/detail/548C3F040FD3882F592AC76B6E6A4CFD
Industrial Relation Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,SDM / HC,Sarjana S1 / Diploma IV,Semua Jurusan,"Memahami peraturan ketenagakerjaan
Menguasai bisnis proses
Memiliki pengalaman dibidang logistik",https://rekrutmenbersama.fhcibumn.id/job/detail/4D8211243068AFECFEB6A1F2E97F46B8
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,Teknik Kimia,"Memiliki kemampuan Bahasa Inggris
Memiliki kemampuan eksekusi di Lapangan dan teknis sesuai bidang
Mampu bekerja dengan target dan dalam batasan kondisi operasi
Memiliki kemampuan Intra Personal dan Team Work yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/D416771236CD9C4550A3B0C28F4F5A02
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,Teknik Mesin,"Memiliki kemampuan Bahasa Inggris
Memiliki kemampuan eksekusi di Lapangan dan teknis sesuai bidang
Mampu bekerja dengan target dan dalam batasan kondisi operasi
Memiliki kemampuan Intra Personal dan Team Work yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/091F5B41E7BA556C1804F5EEDF224707
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,"Teknik Fisika
Teknik Elektro","Memiliki kemampuan Bahasa Inggris
Memiliki kemampuan eksekusi di Lapangan dan teknis sesuai bidang
Mampu bekerja dengan target dan dalam batasan kondisi operasi
Memiliki kemampuan Intra Personal dan Team Work yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/3EBD1A3461A79D3BAF450D0DE9682018
Product & Risk Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Analyst Research,Sarjana S1 / Diploma IV,"Sistem Teknologi Informasi
Manajemen
Bisnis","Memiliki pengalaman dan kemampuan melakukan analisis dalam bidang manajemen risiko, dan mampu menuangkannya dalam bentuk tulisan/ narasi
Memiliki sertifikasi keahlian Manajemen Risiko
Memiliki kemampuan Critical thinking dan berorientasi Problem solving
Memiliki background di perusahaan teknologi atau rintisan lebih disukai
Memiliki pengalaman kerja minimal 1 Tahun di bidang pengelolaan risiko
Memiliki kemampuan bahasa inggris aktif dan pasif",https://rekrutmenbersama.fhcibumn.id/job/detail/11FF8D5A3C0C73A74407188C16471CD6
Legal & Compliance Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Memiliki pengalaman min. 1 tahun di bidang yang relevan
Memiliki kemampuan menyusun Legal Drafting Perjanjian, MoU, NDA, kontrak, dan lain-lain
Memiliki kemampuan pengurusan perizinan korporasi
Memiliki kemampuan Bahasa Inggris terkait dokumen legal, perjanjian kontrak, Memorandum Of Understanding (MoU)",https://rekrutmenbersama.fhcibumn.id/job/detail/DF93FB832CD94EFA63F0C87C97A4E033
Corporate Affairs Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Manajemen
Ekonomi","Memiliki pengalaman min. 1 tahun di bidang yang sama
Memiliki kemampuan dasar akuntansi dan laporan keuangan
Memiliki kemampuan dasar pengarsipan dan tata kelola dokumen
Memiliki kemampuan korespondensi yang baik
Memiliki kemampuan bahasa inggris aktif dan pasif",https://rekrutmenbersama.fhcibumn.id/job/detail/AE5884106A93C3AA5E4229AA4E3B4626
Officer Contract Administration,PT Pembangunan Perumahan (Persero) Tbk,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Bachelor Degree in law
Minimum 2-3 years work experience legal contract/ Perdata
Fluent in communication in English",https://rekrutmenbersama.fhcibumn.id/job/detail/E710E75183087D42FA12044C029F0305
Officer Engineering,PT Pembangunan Perumahan (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,"Mechanical Piping
Instrument Electrical","Open for multi-discipline : Process, Mechanical (Rotating Specialist), Piping, Electrical, and Instrument discipline
Minimum education : Bachelor Degree (S1) in Engineering, according to the required discipline
Minimum one to two (1-2) years experience as Engineer in EPC business, preferably in Oil and Gas/LNG projects (fresh graduate are welcome)
Excellent ability and knowledge in utilization of related design software as well as relevant code and standard.",https://rekrutmenbersama.fhcibumn.id/job/detail/FA49FB5EFADB0CDB03913E1062DBD295
Petugas Pandu,PT Pelabuhan Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Nautika,"Memiliki Sertifikasi Pandu
Memiliki Sertifikasi Kesehatan yang masih berlaku
Usia minimal 30 Tahun",https://rekrutmenbersama.fhcibumn.id/job/detail/496DFDC8A9EBA82486873A2E2C302DA2
Staf BIM Engineer,PT Virama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"Pria
Pendidikan minimal S1 Teknik Sipil
Memiliki pengalaman dalam posisi yang sama minimal 5 tahun
Memahami terkait dengan alur proyek Konstruksi
Mampu mengoperasikan software BIM (Building Information Modelling) dan software teknik pendukung lainnya (Autocad / SAP 200 / TEKLA / Revit / Autodesk / etc)
Memahami software BIM minimum level 5 D.",https://rekrutmenbersama.fhcibumn.id/job/detail/8F115060AA20E11A8BBCFBF10BA342C1
Peraturan dan Kebijakan Hukum,PT ASDP Indonesia Ferry (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"Uraian Pekerjaan :
Konsultasi Hukum untuk mengoordinasikan hasil identifikasi & analisis awal terhadap kasus hukum, baik litigasi maupun non-litigasi
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Menyusun strategi dan penentuan metode penanganan kasus hukum
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Mengoordinasikan penanganan kasus melalui negosiasi, mediasi, maupun pertemuan bersama (untuk non-litigasi)
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Mengoordinasikan materi gugatan, jawaban, saksi, kesimpulan, dan pengumpulan alat bukti (untuk litigasi, jika ditangani sendiri)
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Memastikan persiapan data/dokumen/alat bukti, pendampingan, serta pemberian dukungan dalam penyidikan dan penyelidikan (untuk litigasi, jika menggunakan jasa hukum eksternal)
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Mengoordinasikan kegiatan monitoring dan evaluasi status kasus hukum dan evaluasi proses penanganan kasus baik yang ditangani sendiri maupun oleh konsultan hukum eksternal
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Melakukan koordinasi dengan Departemen terkait untuk penyusunan kronologi dan proses kajian hukum, serta dan studi pustaka terkait aspek hukum dalam hal kegiatan bisnis dan operasional Departemen tersebut
Membantu Manager Hukum Litigasi & Konsultasi Hukum untuk Mengoordinasikan proses kajian dan studi pustaka terkait aspek hukum dalam hal kegiatan bisnis dan operasional perusahaan, dokumen Kebijakan Direksi, dokumen perjanjian kontrak, MOU kerjasama bisnis, dan nota kerjasama bisnis untuk memastikan kepatuhan terhadap kebijakan dan perundang-undangan yang berlaku beserta untuk memastikan bahwa risiko hukum dapat diminimalisir",https://rekrutmenbersama.fhcibumn.id/job/detail/9A1B4C492F08BA419A5FE468DB026C3E
Administrasi Hukum,PT ASDP Indonesia Ferry (Persero),Legal and Compliance,Diploma III,Administrasi,"Uraian Pekerjaan :
Melakukan pekerjaan administratif di dalam divisi Hukum
Menyiapkan dokumen-dokumen Legal yang diperlukan oleh atasan
Melakukan input dalam aplikasi OSS dan aplikasi yang berkaitan dengan legalitas sesuai arahan atasan
Mengarsipkan dokumen-dokumen Legal baik secara Fisik maupun Digital (input dalam Sistem)
Mengadministrasikan keluar-masuknya dokumen Legal
Mengontrol penyimpanan dokumen secara aman, tertib dan rapih dalam Lemari khusus dokumen legal
Membantu korespondensi dan surat menyurat, jika diperlukan",https://rekrutmenbersama.fhcibumn.id/job/detail/83B9BEFEF3D155BFE58F3BB53DBC21EE
Pengadaan,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Industri
Manajemen","Persyaratan Umum :
Mampu bersikap proaktif untuk segera mencapai tujuan
Memiliki keinginan untuk mengembangkan diri dalam meningkatkan hasil kerja
Memiliki kemampuan beradaptasi pada lingkungan kerja
Mampu menyelesaikan tugas secara akurat sesuai dengan ketentuan
Mampu berkomunikasi dengan baik
Mampu bekerjasama dengan tim
Memiliki kemampuan dalam menganalisa pekerjaan
Mampu mengelola waktu pekerjaan secara efektif & efisien",https://rekrutmenbersama.fhcibumn.id/job/detail/5015298ABBFBCDAC8FA2BE8845BBB78C
Logistik dan Pergudangan,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Industri
Manajemen","Persyaratan Umum :
Mampu bersikap proaktif untuk segera mencapai tujuan
Memiliki keinginan untuk mengembangkan diri dalam meningkatkan hasil kerja
Memiliki kemampuan beradaptasi pada lingkungan kerja
Mampu menyelesaikan tugas secara akurat sesuai dengan ketentuan
Mampu berkomunikasi dengan baik
Mampu bekerjasama dengan tim
Memiliki kemampuan dalam menganalisa pekerjaan
Mampu mengelola waktu pekerjaan secara efektif & efisien",https://rekrutmenbersama.fhcibumn.id/job/detail/D2F94F784C8BCE6E245B98D27ED3649D
Strategi Pengembangan SDM,PT ASDP Indonesia Ferry (Persero),SDM / HC,Sarjana S1 / Diploma IV,"Teknik Industri
Psikologi
Management SDM",Empty Cause Error Network,https://rekrutmenbersama.fhcibumn.id/job/detail/79F881138D362A584586DC83F2626523
Corporate Communication,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Public Relations
Ilmu Komunikasi","Uraian Pekerjaan :
Mendukung pekerjaan tim Corpcomm dalam kegiatan eksternal
Bertanggungjawab untuk menyelesaikan administrasi dari setiap kegiatan yang dilakukan tim, melalui : Fidias;Pengadaan;Non PO;Petty Cash
Menerima dan mengkurasi sponsorship
Melakukan follow up dari setiap kegiatan berdasarkan sponsorship
Menerima dan mengatur surat menyurat
Produksi surat menyurat
Melakukan koordinasi jika diperlukan media placement, pemesanan venue dan perlengkapan untuk event terkait meeting
Jika diperlukan, berkoordinasi dengan internal dan eksternal terkait kegiatan yang sedang dilakukan
Bersama dengan Social Media & website strategic mengawasi jalannya sosial media & website
Mendokumentasikan dokumen, tulisan, foto dan video dengan baik
Menyusun database terkait sponsorship, vendor, media dan pihak lain terkait kegatan corporate external communication",https://rekrutmenbersama.fhcibumn.id/job/detail/111E95BFB714C13898D5CB62E095FDAC
Pengadaan Pembelian & Pembangunan Armada,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Sistem Perkapalan
Teknik Perkapalan","Staf Pengadaan Pembelian & Pembangunan Armada Uraian Pekerjaan :
Melakukan pengadministrasian dokumen proses pengadaan Kapal
Melakukan analisa terhadap kesesuaian spesifikasi Kapal dengan Kerangka Acuan Kerja yang dipersyaratkan oleh Unit Kerja Pemakai
Melakukan penyusunan pemaparan terkait laporan proses pengadaan Kapal
Melakukan penyusunan laporan kinerja dan laporan-laporan terkait progress Divisi dan proyek",https://rekrutmenbersama.fhcibumn.id/job/detail/6773D4AF43684B4181DAB763708A3B41
Aset Produksi,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Teknik Sistem Perkapalan
Teknik Perkapalan",Empty Cause Error Network,https://rekrutmenbersama.fhcibumn.id/job/detail/61F54D6BFED8214D8B1E2CA16CE0BDB5
Commercial & Operations Data Management,PT ASDP Indonesia Ferry (Persero),Analyst Research,Sarjana S1 / Diploma IV,Statistik,"Uraian Pekerjaan :
Mengelola Permintaan Analisa Data yang telah direncanakan dalam Rencana Kerja Anggaran maupun yang bersifat ad-hoc menggunakan pendekatan manajemen proyek
Mengambil, mengoordinasikan, dan mengartikan data yang digunakan dalam proses Analisa Data merupakan data yang benar dan valid
Mempersiapkan data dalam proses Analisa Data sehingga data yang digunakan telah terstruktur
Memastikan data yang digunakan dalam proses Analisa Data sudah akuntabel
Melakukan treatment yang dapat diterima secara statistika terhadap data apabila data yang digunakan di luar kondisi ideal, seperti data outlier, missing, atau inkonsisten
Membuat model, melakukan analisa terhadap data, dan menarik kesimpulan atas Analisa Data yang telah dilakukan.Berkoordinasi terkait finalisasi RKAP
Membuat analisa realisasi kinerja laba/rugi
Berkoordinasi dengan unit kerja (fungsi/cabang) perihal pencapaian/pelampauan biaya
Membuat laporan hasil evaluasi kinerja laba/rugi
Membuat ANOVA (Analysis Of Variance) pengelolaan biaya
Membuat hasil kajian proyek dalam bentuk paper atau slide paparan
Membuat rekomendasi hasil analisa",https://rekrutmenbersama.fhcibumn.id/job/detail/5C10C90D9A42382E0FBC7928D297703F
Evaluasi Kinerja Perintis,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,"Manajemen Transportasi
Akuntansi","Uraian Pekerjaan :
Rekapitulasi Pelaksanaan Trip Kapal Perintis dari Masing – masing Cabang
Evaluasi Pelaksanaan Trip Kontrak Subsidi Perintis
Monitoring Penyerapan Anggaran Subsidi Perintis
Evaluasi Penyerapan Anggaran Subsidi Perintis
Eavaluasi Kinerja & Laba/Rugi Kapal Perintis",https://rekrutmenbersama.fhcibumn.id/job/detail/DBCD81DB93499A91925AB444CD703A63
Operasional TI,PT ASDP Indonesia Ferry (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","Uraian Pekerjaan :
Melakukan pengelolaan dan dukungan operasional aplikasi
Melakukan pengelolaan data center
Melakukan pengelolaan infrastruktur dan keamanan TI
Melakukan pengelolaan perangkat end user computing di kantor pusat
Melakukan evaluasi, tuning dan capacity planning layanan TI
Berperan sebagai first level support",https://rekrutmenbersama.fhcibumn.id/job/detail/5364BC75EECB5D6E7A1F0A8007AB5D76
Pengembangan TI,PT ASDP Indonesia Ferry (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Informatika
Sistem Teknologi Informasi
Ilmu Komputer","Uraian Pekerjaan :
Melakukan perancangan kebutuhan pengembangan aplikasi dengan pengguna unit kerja
Melakukan perancangan kebutuhan pengembangan infrastruktur TI dengan pengguna unit kerja
Melakukan pengembangan aplikasi berdasarkan requirement yang telah disusun pada fase perancangan kebutuhan
Melakukan pengembangan infrastruktur TI berdasarkan requirement yang telah disusun pada fase perancangan kebutuhan
Menyusun standard teknologi informasi",https://rekrutmenbersama.fhcibumn.id/job/detail/CD4422A2B10133628A3301EE8AD15A7B
Performa dan Reward,PT ASDP Indonesia Ferry (Persero),SDM / HC,Sarjana S1 / Diploma IV,Manajemen,Empty Cause Error Network,https://rekrutmenbersama.fhcibumn.id/job/detail/CF8B95CC8175AAB86A99B0B02F515CA3
Asisten Kredit Standar,PT Bank Negara Indonesia (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,Requirement: Fresh Graduate maupun Berpengalaman pada bidang Sales maupun perkreditan,https://rekrutmenbersama.fhcibumn.id/job/detail/83ED76E20EEC26C3A9B589D859CD5EAE
Sales,PT BNI LIFE INSURANE - PT BANK NEGARA INDONESIA (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,"Fresh Graduate & have an experience in sales is a plus point
Attractive and Well-groomed
Communication skill, negotiation skill, and presentation skill
Target-oriented
Highly motivated individual",https://rekrutmenbersama.fhcibumn.id/job/detail/40742F939F227A7E87EC352B081D95C0
Customer Marketing Officer,PT BNI MULTIFINANCE - PT BANK NEGARA INDONESIA (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,Requirement: Fresh Graduate maupun Berpengalaman,https://rekrutmenbersama.fhcibumn.id/job/detail/98141029041653FEE4AC9A6A83B1AF7F
